S No	Serial Number	Fixed E-Lock Version	Vehicle No	Repaired By	Zoho Project Ticket Id	Damage Type	Client Name	Issue Reported	Parts	Reported Date	Resoultion Date	Contact Person Name	Contact Number	Address & Location	Root Cause	Replaced Parts	SOLUTION in Detail	Remarks 1	Remarks 2	Video Link																																																				
1	LYNKSL25010001	v1.0	DL01AB1234	Tech1	23	Physical	ClientA	Won't open	Motor	01-01-2026	03-01-2026	Rahul	9876543210	agra	Short Circuit	Fuse	Replaced fuse	Tested OK	None	https://youtube.com/1																																																				
2	LYNKSL25010002	v1.1	DL01AB1235	Tech2	234	Water	ClientB	Battery drain	Battery	02-01-2026	05-01-2026	Amit	9876543211	mathura	Impact	Casing	Changed casing	Needs observation	Follow up next week	https://youtube.com/2																																																				
3	LYNKSL25010003	v1.2	DL01AB1236	Tech3	145	Electrical	ClientC	Broken casing	Casing	04-01-2026	06-01-2026	Priya	9876543212	gwalior 	Moisture	Seal	Applied sealant	Tested OK	None	https://youtube.com/3																																																				
4	LYNKSL25010003	v2.0	DL01AB1237	Tech1	154	Physical	ClientA	Won't open	Motor	05-01-2026	09-01-2026	Rohan	9876543213	agra	Wear and Tear	Battery	Swapped battery	Tested OK	None	https://youtube.com/4																																																				
5	LYNKSL25010004	v2.1	DL01AB1238	Tech2	515	None	ClientB	Battery drain	Battery	07-01-2026	10-01-2026	Neha	9876543214	mathura	Overheating	Motor	Replaced motor	Needs observation	Follow up next week	https://youtube.com/5																																																				
6	LYNKSL25010005	v1.0	DL01AB1239	Tech3	22	Water	ClientC	Broken casing	Casing	08-01-2026	12-01-2026	Suresh	9876543215	gwalior 	Short Circuit	Fuse	Replaced fuse	Tested OK	None	https://youtube.com/6																																																				
7	LYNKSL25010006	v1.1	DL01AB1240	Tech1	5524	Electrical	ClientA	Won't open	Motor	10-01-2026	14-01-2026	Ramesh	9876543216	agra	Impact	Casing	Changed casing	Tested OK	None	https://youtube.com/7																																																				
8	LYNKSL25010007	v1.2	DL01AB1241	Tech2	151	Physical	ClientB	Battery drain	Battery	12-01-2026	15-01-2026	Anjali	9876543217	mathura	Moisture	Seal	Applied sealant	Needs observation	Follow up next week	https://youtube.com/8																																																				
9	LYNKSL25010008	v2.0	DL01AB1242	Tech3	243	None	ClientC	Broken casing	Casing	13-01-2026	16-01-2026	Vikas	9876543218	gwalior 	Wear and Tear	Battery	Swapped battery	Tested OK	None	https://youtube.com/9																																																				
10	LYNKSL25010009	v2.1	DL01AB1243	Tech1	23	Water	ClientA	Won't open	Motor	15-01-2026	18-01-2026	Pooja	9876543219	delhi	Overheating	Motor	Replaced motor	Tested OK	None	https://youtube.com/10																																																				
11	LYNKSL25010010	v1.0	DL01AB1244	Tech2	234	Electrical	ClientB	Battery drain	Battery	17-01-2026	20-01-2026	Anil	9876543220	delhi	Short Circuit	Fuse	Replaced fuse	Needs observation	Follow up next week	https://youtube.com/11																																																				
12	LYNKSL25010011	v1.1	DL01AB1245	Tech3	145	Physical	ClientC	Broken casing	Casing	18-01-2026	22-01-2026	Sunita	9876543221	noida	Impact	Casing	Changed casing	Tested OK	None	https://youtube.com/12																																																				
13	LYNKSL25010012	v1.2	DL01AB1246	Tech1	154	None	ClientA	Won't open	Motor	20-01-2026	23-01-2026	Rajesh	9876543222	noida	Moisture	Seal	Applied sealant	Tested OK	None	https://youtube.com/13																																																				
14	LYNKSL25010013	v2.0	DL01AB1247	Tech2	515	Water	ClientB	Battery drain	Battery	21-01-2026	25-01-2026	Kavita	9876543223	delhi	Wear and Tear	Battery	Swapped battery	Needs observation	Follow up next week	https://youtube.com/14																																																				
15	LYNKSL25010014	v2.1	DL01AB1248	Tech3	22	Electrical	ClientC	Broken casing	Casing	23-01-2026	27-01-2026	Manish	9876543224	delhi	Overheating	Motor	Replaced motor	Tested OK	None	https://youtube.com/15																																																				
16	LYNKSL25010015	v1.0	DL01AB1249	Tech1	5524	Physical	ClientA	Won't open	Motor	24-01-2026	28-01-2026	Ritu	9876543225	delhi	Short Circuit	Fuse	Replaced fuse	Tested OK	None	https://youtube.com/16																																																				
17	LYNKSL25010016	v1.1	DL01AB1250	Tech2	151	None	ClientB	Battery drain	Battery	26-01-2026	30-01-2026	Sanjay	9876543226	noida	Impact	Casing	Changed casing	Needs observation	Follow up next week	https://youtube.com/17																																																				
18	LYNKSL25010017	v1.2	DL01AB1251	Tech3		Water	ClientC	Broken casing	Casing	27-01-2026	31-01-2026	Meena	9876543227	noida	Moisture	Seal	Applied sealant	Tested OK	None	https://youtube.com/18																																																				
		v2.0	DL01AB1252	Tech1		Electrical	ClientA	Won't open	Motor	28-01-2026	02-02-2026	Vijay	9876543228	delhi	Wear and Tear	Battery	Swapped battery	Tested OK	None	https://youtube.com/19																																																				
		v2.1	DL01AB1253	Tech2		Physical	ClientB	Battery drain	Battery	30-01-2026	04-02-2026	Geeta	9876543229		Overheating	Motor	Replaced motor	Needs observation	Follow up next week	https://youtube.com/20																																																				
